season,teamId,team,conference,offensiveRating,defensiveRating,netRating,rankings
2025,358,Wyoming,Mountain West,103.5,106.6,-3.1,"{'offense': 243, 'defense': 156, 'net': 205}"
2025,335,Valparaiso,MVC,107.0,110.2,-3.2,"{'offense': 190, 'defense': 234, 'net': 207}"
2025,32,Bucknell,Patriot,104.2,107.5,-3.3,"{'offense': 230, 'defense': 176, 'net': 208}"
2025,271,South Florida,American,103.2,106.6,-3.4,"{'offense': 250, 'defense': 156, 'net': 209}"
2025,26,Boston College,ACC,105.5,109.0,-3.4,"{'offense': 213, 'defense': 207, 'net': 209}"
2025,231,Portland State,Big Sky,101.5,105.0,-3.5,"{'offense': 282, 'defense': 120, 'net': 211}"
2025,297,Texas State,Sun Belt,110.7,114.1,-3.5,"{'offense': 103, 'defense': 308, 'net': 211}"
2025,362,Queens University,ASUN,109.7,113.2,-3.5,"{'offense': 130, 'defense': 291, 'net': 211}"
2025,319,UNC Asheville,Big South,109.2,112.9,-3.6,"{'offense': 138, 'defense': 287, 'net': 214}"
2025,263,Seton Hall,Big East,99.9,103.5,-3.6,"{'offense': 311, 'defense': 91, 'net': 214}"
2025,147,Longwood,Big South,106.8,110.6,-3.8,"{'offense': 194, 'defense': 244, 'net': 216}"
2025,41,Campbell,CAA,103.2,107.1,-3.9,"{'offense': 250, 'defense': 169, 'net': 217}"
2025,154,Maine,Am. East,101.4,105.4,-4.0,"{'offense': 285, 'defense': 126, 'net': 218}"
2025,210,Northern Kentucky,Horizon,104.2,108.5,-4.3,"{'offense': 230, 'defense': 194, 'net': 219}"
2025,161,Massachusetts,A-10,103.3,107.7,-4.4,"{'offense': 248, 'defense': 183, 'net': 220}"
2025,66,Delaware,CAA,110.5,114.9,-4.4,"{'offense': 109, 'defense': 322, 'net': 220}"
2025,247,SIU Edwardsville,OVC,102.0,106.4,-4.4,"{'offense': 268, 'defense': 150, 'net': 220}"
2025,120,Incarnate Word,Southland,106.5,111.2,-4.7,"{'offense': 198, 'defense': 255, 'net': 223}"
2025,137,La Salle,A-10,104.2,109.0,-4.8,"{'offense': 230, 'defense': 207, 'net': 224}"
2025,155,Manhattan,MAAC,109.6,114.5,-5.0,"{'offense': 133, 'defense': 315, 'net': 225}"
2025,353,William & Mary,CAA,107.8,112.7,-5.0,"{'offense': 167, 'defense': 284, 'net': 225}"
2025,168,Miami,ACC,112.0,117.0,-5.0,"{'offense': 90, 'defense': 341, 'net': 225}"
2025,233,Presbyterian,Big South,104.8,110.0,-5.1,"{'offense': 224, 'defense': 229, 'net': 228}"
2025,144,Little Rock,OVC,99.1,104.2,-5.1,"{'offense': 322, 'defense': 105, 'net': 228}"
2025,274,Southern,SWAC,100.2,105.5,-5.2,"{'offense': 307, 'defense': 128, 'net': 230}"
2025,211,Northwestern State,Southland,103.1,108.5,-5.4,"{'offense': 253, 'defense': 194, 'net': 231}"
2025,326,UT Rio Grande Valley,Southland,105.7,111.1,-5.4,"{'offense': 209, 'defense': 253, 'net': 231}"
2025,108,Hawai'i,Big West,103.8,109.3,-5.5,"{'offense': 239, 'defense': 216, 'net': 233}"
2025,290,Tennessee State,OVC,103.8,109.2,-5.5,"{'offense': 239, 'defense': 213, 'net': 233}"
2025,318,UMass Lowell,Am. East,109.3,114.9,-5.6,"{'offense': 136, 'defense': 322, 'net': 235}"
2025,55,Colgate,Patriot,105.6,111.2,-5.6,"{'offense': 210, 'defense': 255, 'net': 235}"
2025,130,Kansas City,Summit,102.0,107.9,-5.9,"{'offense': 268, 'defense': 185, 'net': 237}"
