season,teamId,team,conference,rating
2020,363,Hartford,Am. East,-2.6
2020,214,Oakland,Horizon,-2.6
2020,162,McNeese,Southland,-2.6
2020,126,Jackson State,SWAC,-2.7
2020,187,Navy,Patriot,-2.7
2020,296,Texas Southern,SWAC,-2.7
2020,212,Northwestern,Big Ten,-2.8
2020,123,Iona,MAAC,-2.8
2020,146,Long Island University,NEC,-2.8
2020,332,Utah Valley,WAC,-2.9
2020,42,Canisius,MAAC,-3.1
2020,307,UC Davis,Big West,-3.1
2020,238,Quinnipiac,MAAC,-3.1
2020,13,Arkansas State,Sun Belt,-3.2
2020,198,North Carolina A&T,MEAC,-3.2
2020,23,Bethune-Cookman,MEAC,-3.2
2020,201,North Dakota,Summit,-3.3
2020,190,New Hampshire,Am. East,-3.3
2020,152,Loyola Maryland,Patriot,-3.3
2020,211,Northwestern State,Southland,-3.4
2020,71,Drexel,CAA,-3.4
2020,155,Manhattan,MAAC,-3.5
2020,328,UTSA,CUSA,-3.5
2020,40,California,Pac-12,-3.5
2020,45,Central Michigan,MAC,-3.6
2020,103,Grambling,SWAC,-3.7
2020,172,Milwaukee,Horizon,-3.8
2020,319,UNC Asheville,Big South,-3.9
2020,15,Army,Patriot,-3.9
2020,197,North Alabama,ASUN,-4.0
2020,167,Miami (OH),MAC,-4.0
2020,119,Illinois State,MVC,-4.1
2020,2,Air Force,Mountain West,-4.1
2020,317,UMBC,Am. East,-4.1
2020,183,Mount St. Mary's,NEC,-4.2
2020,306,UAlbany,Am. East,-4.2
2020,84,Fairleigh Dickinson,NEC,-4.3
2020,318,UMass Lowell,Am. East,-4.3
2020,96,George Washington,A-10,-4.4
2020,38,Cal State Northridge,Big West,-4.4
2020,91,Fordham,A-10,-4.4
2020,148,Louisiana,Sun Belt,-4.5
2020,26,Boston College,ACC,-4.5
2020,153,Loyola Marymount,WCC,-4.7
2020,78,Eastern Kentucky,OVC,-4.8
2020,351,Western Michigan,MAC,-4.9
2020,237,Purdue Fort Wayne,Summit,-5.0
2020,283,Stetson,ASUN,-5.2
2020,294,Texas A&M-Corpus Christi,Southland,-5.3
2020,47,Charleston Southern,Big South,-5.3
2020,188,Nebraska,Big Ten,-5.3
2020,334,VMI,SoCon,-5.3
2020,147,Longwood,Big South,-5.4
2020,74,East Carolina,American,-5.4
2020,194,Niagara,MAAC,-5.5
2020,83,Fairfield,MAAC,-5.6
2020,7,Alcorn State,SWAC,-5.7
2020,182,Morgan State,MEAC,-5.7
2020,364,St. Francis Brooklyn,NEC,-5.8
2020,43,Central Arkansas,Southland,-5.9
2020,37,Cal State Fullerton,Big West,-5.9
2020,81,Elon,CAA,-5.9
2020,345,Weber State,Big Sky,-6.0
2020,106,Hampton,Big South,-6.0
2020,141,Lehigh,Patriot,-6.1
2020,60,Cornell,Ivy,-6.1
2020,88,Florida Gulf Coast,ASUN,-6.2
2020,186,NJIT,ASUN,-6.3
2020,258,San Diego,WCC,-6.5
2020,316,UL Monroe,Sun Belt,-6.6
2020,251,Saint Joseph's,A-10,-6.8
2020,85,Florida A&M,MEAC,-6.8
2020,116,Idaho State,Big Sky,-6.8
2020,129,James Madison,CAA,-6.9
2020,181,Morehead State,OVC,-6.9
2020,156,Marist,MAAC,-7.2
2020,59,Coppin State,MEAC,-7.3
2020,69,Detroit Mercy,Horizon,-7.4
2020,275,Southern Miss,CUSA,-7.4
2020,6,Alabama State,SWAC,-7.5
2020,268,South Carolina Upstate,Big South,-7.5
2020,302,Troy,Sun Belt,-7.6
2020,53,Cleveland State,Horizon,-7.8
2020,58,Columbia,Ivy,-7.9
2020,171,Middle Tennessee,CUSA,-7.9
2020,68,Denver,Summit,-8.1
2020,321,UNC Wilmington,CAA,-8.3
2020,35,Cal Poly,Big West,-8.3
2020,291,Tennessee Tech,OVC,-8.4
2020,193,New Orleans,Southland,-8.4
2020,82,Evansville,MVC,-8.4
2020,145,Long Beach State,Big West,-8.4
2020,358,Wyoming,Mountain West,-8.5
2020,154,Maine,Am. East,-8.6
2020,230,Portland,WCC,-8.7
2020,233,Presbyterian,Big South,-8.8
2020,267,South Carolina State,MEAC,-8.8
2020,325,UT Martin,OVC,-9.6
2020,117,Idaho,Big Sky,-9.7
2020,341,Wagner,NEC,-9.7
2020,272,Southeast Missouri State,OVC,-9.8
2020,247,SIU Edwardsville,OVC,-9.8
2020,24,Binghamton,Am. East,-10.2
2020,4,Alabama A&M,SWAC,-10.4
2020,349,Western Illinois,Summit,-10.5
2020,246,SE Louisiana,Southland,-10.6
2020,109,High Point,Big South,-10.8
2020,115,IU Indianapolis,Horizon,-10.8
2020,256,Samford,SoCon,-11.0
2020,260,San José State,Mountain West,-11.0
2020,111,Holy Cross,Patriot,-12.1
2020,299,The Citadel,SoCon,-12.4
2020,112,Houston Christian,Southland,-12.5
2020,120,Incarnate Word,Southland,-13.0
2020,67,Delaware State,MEAC,-13.3
2020,14,Arkansas-Pine Bluff,SWAC,-13.7
2020,159,Maryland Eastern Shore,MEAC,-14.4
2020,114,Howard,MEAC,-15.0
2020,44,Central Connecticut,NEC,-15.6
2020,175,Mississippi Valley State,SWAC,-17.9
2020,133,Kennesaw State,ASUN,-17.9
2020,50,Chicago State,WAC,-19.8
